fra	nnb
Je suis désolée si ma présence vous embarrasse.	Namasava ovoghanyiri namavya erivyaho ryaho ryaghe ryamavia isi ryathakwanzisha.
« Tu m'as frappé par haine. » « Non, je l'ai fait par amour », a répondu la fille.	« Moghukambanza vusana nekinigha. » « iyehe nyiryakolavyo omolwanzo » omumbesa mwasuvirya.
Le locuteur donne au co-locuteur les instructions pour identifier le référent.	Omuvuyi akaha oyovakavughanayo erikangirirya eriminerera evirimo.
Daniel remercia la police.	Daniel mwashimepolhishi.
Sortir avec elle et manger à notre restaurant préféré m'a manqué.	Sinathasyahenda neriyalhyanaye o eyo thuveghere eriyalhira.
Lorsqu'il est revenu de chez le teinturier, mon costume était abîmé.	Omughulu alhya awavomuhaki weranji Ranji, erikothiryaghe rilwe iryaviritsanda.
Ma tante me donna une fleur.	Songalhi waghe mwamba eriwa.
Sa voiture roule vraiment bien, même si c'est une voiture ancienne.	Enguruvani yiwe yikaghenda ndeke mwalhi niyokosyakera.
C'est double plaisir de tromper le trompeur.	Kikatsemesaya ndeke eritheva oyukatheva.
Tu as amené le tien, n'est-ce pas ?	Moghukanalhevyaghu ?
Quand la bombe explosa, je me trouvais justement là.	Omughulu embundu yaghu, navya inyineho.
Il élargit l'objet de ses recherches.	Akakanayaya ovusosothyavwiwe.
Je lui ai promis que je viendrais aujourd'hui.	Munamavwira ngoko ngandyasa munabwire.
Normalement, je prends le bus pour aller à l'école.	Ngimaye nguruvani eriyaokokiyiro.
Est-ce que tu t'appelles Layla ?	Ekweneneko ukahulawamo Layla ?
"La danseuse étoile a dansé dans le ""lac des cygnes"", le public l'a trouvée excellente dans son rôle."	Omusathi alwe inyane omoasatha omongetse avandu movaka minya ngokoanashi.
La décision du tribunal est définitive.	Ovusi vunalwiri vwavugha ekyendulya.
La mort ne connait ni riche ni pauvre.	Oluholo silwasi mutheke kutse mwera.
Je suis désolée de ne pas avoir été chez moi alors que tu es passée exprès.	Namasweka erivya imonyithithayewaghe yo luva mwalhi ghulhyalavira.
Rien ne paraît. Soudain s'offrent à ses regards / trois cerfs au front superbe, errant dans la campagne ; / un jeune et long troupeau de loin les accompagne.	Sihali ekika langirika. Aho naho moba langira/ ehinyumu hi sathu ; hikatsangira omo musithu / omulwana noghundi nekikumula kia bandu kika kwamanisaya bo.
Un pêcheur pêchait sous un pêcher. Il vola une pêche, et il est devenu pécheur.	Omu pastere alwe aka thukaniria omwisi we kieri bughirako. Mwibire ekieri loba amo, nero mwabia omu baliya.
« J'ai acheté une nouvelle voiture. » « Formidable ! Et l'ancienne, tu vas la vendre ? »	« Nabiri ghula engurubani nyihiaka. » « kiowene ! Neya kera, ghukandi ghuliayo ? »
L'artiste qui vient ensuite est extraordinaire.	Omutsangi oyukasa atsemesirie.
J'ai fait la moitié du travail, maintenant je peux faire une pause.	Namabi kola enusu eye kasi, hathia nangana luhuka.
La sorcière a jeté un sort sur le méchant garçon.	Omuloyi mwaghusire ebitsumi oko mulwana oyo muthima mubi.
Elle voulait se faire couper les cheveux, mais sa mère n'a pas voulu.	Alwe anzire eyi twako esyonziri, alicho, koyo wiwe siethithanza.
Le sort fut rompu et le porc se transforma en homme.	Ekio  kikalu ikia sosa omundu.
Je fus frappé d'horreur, car j'avais déjà tranché les muscles et j'allais scier l'os; jugez de ma consternation lorsque je m'aperçus qu'il avait raison !	Monasangere, kundi nabia inamabi ikala ndeke, nyithi nga randa omukuha, nero mwangana lheba ngoko nahemukire omughulu nyria minya nyithi anemu bugha kwenene!
S'il vous plait, envoyez ce formulaire par la poste à votre compagnie d'assurance.	Kishi kishi, tume ekibaruha eki oko kisenge ekie assurance.
Enzo ne convient absolument pas pour le job.	Enzo siatholere oko kashi eyi.
Ne te gêne surtout pas.	Sighukwe obuba.
Un bloc de roche s'est détaché de la paroi.	Ekirongwe mokiayilusire oko bindi.
Au final, son rêve de devenir un médecin se réalisa.	Oko ndulia, enzoli yiwe yeribia munganga moyahikire.
Le criminel a été arrêté par deux agents de police.	Omwithi mwabohire nabakurungu babiri aba polisi.
Timéo était la star de l'équipe de football américaine.	Timéo abianzirwe omo kipia ekia kahuluhulu ake bu america.
Le verre à l'épreuve des balles garantit la sécurité, mais il n'est pas beaucoup diffusé en raison de son prix élevé.	Ekiraghuli ekieriubahisia kika lhet'obusalama, alicho, sikiri tsatsangirwaka busana nebeya yako eye ndatha.
""" Mais écoutez le piège inventé contre nous, / et qu'un Grec vous apprenne à les connaître tous. """	""" Aliwe muka hulikirira ekiuna ekia kolawa nenu, / nomu greki iniaba minyisia ngoko mwangana muminya inywe bosi. """
Sa majesté vous fait appeler.	Omwami ama kubirikira.
J'ai repris le business.	Niabiri tsuka ebiashara.
Vous ne ferez pas de sieste.	Siwendi ghotsera.
Sonne l'alarme !	Mughulukaye omukenge !
La jeune femme regardait Adam fumant devant elle un élégant narguilé, la seule manière de fumer qu'elle eût permise dans cet appartement.	Omukali mumbesa mwalebirie Adam aka mothaya embere syomundu, erymothia erio bana here omundu munye omo mbimbano eyo.
T'as un rencard ici avec quelqu'un ?	Una lindire omundu?
Comment vais-je m'y prendre pour engager la conversation avec cette bombe ?	Ngendi tsuka nyithi okwi tsukeribuha nomundu?
Il m'a fallu sortir quelque chose de la voiture.	Ngambi inia lusya ekindu kyomo fwatiri.
Ils ont été faits prisonniers.	Mobakolawamo babohwa.
Si on comprend le texte mais qu'on ne sait absolument pas comment le traduire, c'est un bon signe qu'il s'agit d'un texte naturel en langue japonaise.	wamabiogha ekithabu kino butsireriminya ngoko wangana kumbulakio, nikiminyikalo kiowene omo mubughe waabanya japon.
Nous sommes confiants que nous serons en mesure de gérer cela.	Thunaaasi ngoko thukandi thoka eri kolakio.
Qui m'échange la page affaires internationales contre la page sport ?	Nyindi yukandi nibindukia ekipapura kion omo kipapura kiebindu ebilebire akaghulu ghulu?
Ne bougez pas.	Simuhuluke.
Ornez votre cou d'un brillant collier, votre poitrine d'une splendide broche et votre chef d'un diadème de fleurs !	Ghambaya ebikia biaghu omo mbitha eyika melemeta, ekikuba kiaghu omo mawa manene!
Il ne fout rien de ses journées.	Siali kola kindu oko biro biwe.
Le voyage supralumineux, c'est-à-dire à une vitesse supérieure à celle de la lumière, ne fut découvert que des siècles plus tard.	Eribalama omo mwenda, rieribughambu ebitssi ebiri endata oko kyakakala, mobia minyire ebiro binene biabi laba.
Vous auriez pu tout gâcher.	Wanga tsandirie biosi.
La musique qui ne transmet ni sentiments, ni images, ni pensées ou souvenirs n'est qu'un bruit de fond.	Akalikiliki akathelabia ebianzirem ne hisasamira, kutse malengekania kutse ebieri ibukirako ni fuyo eye mwisi.
Les services administratifs et les institutions devraient employer des outils, des méthodes et des systèmes innovants pour coopérer entre elles, à travers toutes les strates du gouvernement et avec les associations, les entreprises et les individus du secteur privé.	Esio kashi sie leta nebindi bisenge bianga kolesirye ebimano, ebindu ebighehulirwe okwi kakia ekashi yabio, omo syo hali syosi syobulhembya nebithongole, nebithongole nabandu bomo biharo bithe bia leta.
Un journaliste russe de plus vient d'être assassiné. Le gouvernement va encore amuser la galerie en faisant condamner un lampiste tchétchène.	Kandi bamabitha omuthula ngulu owe kihuho ekie Russe. Obuthabali bukandi tsangia abandu baka bogha oyukahulawamo lampiste tchétchène.
La direction a caché le véritable état financier de l'entreprise à ses salariés.	Obulhembia mo bwabisire oyu ka lebahaya ebihasa oko bandi bafanyakazi.
Vous n'aurez pas soif.	Ghukandi kwenyotha.
"Lorsque je les ai vus sortir ensemble, je leur ai demandé, ""Est-ce que j'entends sonner les cloches du mariage?""."	"Omughulu nyilya sungabo haghuma, mongababulaya, ""nganowa emikenge yika lira, eye ndwa?""."
Comment diable m'avez-vous trouvée ?	Mughukambana ghuti kwe mbule setani?
Ton baiser est plus doux que du miel.	Ebisous yaghu yisihire ngo buki.
Tu passes trop de temps devant ton ordinateur.	Uka heraya endambi nene embere kie kisengula kiaghu.
Sans eau, les êtres humains ne pourraient pas survivre.	Butsiramaghetse, abandu sibanga biaho.
Il errait au hasard, persuadé qu’il ne reverrait plus cette gracieuse créature, lorsqu’il l’aperçut soudain venant à sa rencontre et forcée de passer près de lui dans l’étroit sentier.	Alwe aka lendebuka, athi siandisia sunga omundu oghuli ngoyo, nero omughulu amusunga mwalu inia thibitha eri ya aho ali omo kahera.
Ça prendra plus longtemps de t'expliquer comment faire que de simplement le faire moi-même.	Kikandisya himia ndambi nyiri erikukaniria ngoko bakakola, nero inia kola kio inguwene.
Ethan a lancé l’idée d’une fête pour célébrer le départ de Marie.	Ethan mwabuyire athi bakandi kola ekisendebele okwilagha Marie.
Elle a fait clairement comprendre qu'elle voulait aller en fac.	Mwaka ni bwira athi abianzire inia ya oko kiyiro kikulu.
Je ne vous sers pas de lait.	Sindiri kuha amathe.
Docteur, donnez les premiers secours à cet enfant s'il vous plaît.	Munganga, musabule omwana oyu kisi kisi.
C'était totalement impossible de s'échapper.	Kiaba iki kalire eri yi sosola.
J’ai fait confiance à mon associé.	Monga hiramaha omo mulikyethu.
Nous savons que c'est réel.	Thunasi ngoko ni kwenene.
Ne te moque pas de moi quand je parle sérieusement.	Sighuni langire muhanda omughulu nga bugha no muhwa.
Il est impossible que deux têtes humaines conçoivent le même sujet absolument de même manière.	Kikalire ngoko abandu babiri ibaminya ekindu kighumerera oko ndambi ngumerera.
Ne vous inquiétez pas. Ce n'est pas votre problème.	Simubaghe. Sibikulhebire.
Mettez vos objets de valeur dans le coffre.	Mubike ebindu bienu ebie beya omo lisanduku eri.
J'ai acheté un traitement de texte pour écrire un livre de mon cru.	Mongaghula eri kokotia ebihandiko okwisaka ekitabu kiaghe eki.
Ils ont peut-être vu notre vaisseau entrer dans le port.	Alinga mobakusungire ukingira amo.
Je n'aime pas Chris, parce qu'il est très grossier et indélicat.	Sinianzire Chris, kundi aka bugha amakaku na siasi eri yi landako.
Est-ce que tu veux que je te ramène à la maison ?	Ghunanzire nyi ku twaleka ?
Il a écouté mon discours, c'est pourquoi je pense qu'il est intéressé.	Mwakahulikirira ebio nyiria buha, ekio kiokialheka inia buha nithi sianzire ebio.
Le diable se cache dans la classe.	Esitani yibiseme omo kalasi kabo.
Mes parents commencent probablement à s'inquiéter.	Ababuthi baye, bama bitsuka eriubaha.
Un jour il reçut une lettre anonyme, qui lui disait qu'Odette avait été la maîtresse d'innombrables hommes.	Kiro kighuma, mwabana enzakano eyithasibwe, eyo yabia ika mu bwora yithi Odette abia mumbalaka wa balume banene.
Par ta faute, j'ai des problèmes de tension.	Okwileka riaghu, nyabiri kwe etasho.
Parlons sérieusement de ton avenir.	Thukanaye oko ebiaghu bisa.
Ce baiser était incroyable.	Erinyunguthireri riabia ri tsemesirie.
À partir de demain, le front météorologique de la saison des pluies arrivera chez nous.	Okwiwomuja, embula ikandi wa nene ewethu eno.
L'État algérien ne respecte pas les droits de l'homme pourtant il a signé la charte.	Ekihuho ekie Algeria siki sikirie esyo mbangwa syabanud, alihwe mokia signaya ekipapura munye.
Enchanté de vous rencontrer.	Namatsema ngakusangana.
Il n'y a absolument aucune possibilité de quitter l'île.	Sihali enzira nenguma eyeri lwiroko ngetse eyi.
J'avais seize ans lorsque je me suis mise avec mon petit ami. J'étais encore vierge et sans expériences sexuelles.	Nyilwe inyighwite emiaka kumi na sita omughulu na sanganaana na mwira waghe. Isiniri nia keshya na mulume, isiniasi emiatsi yo luthetho.
Ils sont du genre de Francs-maçons à mettre leurs gosses à l'école chez les Jésuites.	Banenganga ba frima, abaka hira abana ewaba Jesuite.
Je vous assure, Mr. Ambassadeur, que nous ne voulions pas manquer de respect.	Ngakubwira Mr. Ambassadeur, sitwanzire itwa ku hitania.
La Hongrie s'efforce d'assurer à chacun les conditions de logement convenable aux personnes ainsi que l'accès aux services publics.	E Hongrie yika yika yi kasa eri kolerobulimundu erikala ahuwene neri sunganana bweghu bweghu nabandu be leta.
Si vous voulez me contacter, je vous prie de le faire par téléphone.	Wamabi nyi rondia, ngakusaba, unyi ronderaye oko nyakuthu.
Si tu dois discuter d'un problème avec quelqu'un, adresse-toi directement à lui, au lieu d'en discuter dans son dos.	Wamabia ighunawhite ebieri kania nomundu, ghulu ubughe naye, butsirerikaniria omo mughongo wiwe.
Il n'y a pas d'inconvénient à créer un site-web, mais soyez sûr que vous ne contrevenez pas au droit de l'auteur.	Sihali tabu yeri kola ekighona kie miatsi, nagho muminye ngoko simughuthe embangwa yobuhandiki.
Nous devons apprendre à vivre ensemble comme des frères, sinon nous allons mourir tous ensemble comme des idiots.	Ngamb'i twigha eribia haghuma ngabaaghala, nagho ithukandi ghola kughumerera ngebikiru.
Étant donné que son carnet d'adresses ne comportait pas beaucoup de noms, il était facile pour la police d'établir la liste des suspects.	Eribughambu sialwe iniasi bandu banene, kiabia kiolo oko ba polisi eriminya abaka thika thikawako.
Je n'ai pas encore reçu le courrier que vous m'avez envoyé.	Sinyiri na bana e baruha eyo mulia nduma.
J'ai passé une merveilleuse soirée.	Monga lhabaya erigholo gholo ribuya.
Un bon changement n'arrive jamais trop tard.	Amabindulikania sialihika ndangaliri.
Mon rêve est parti en fumée.	Enzoli yaghe yabiri thimwa.
Le diable seul a pu m’inspirer de donner ce bal.	Esitani nyisa yoyiyiria niha amaha owa masatha ano.
Pour ce qui est de la pêche, c'est un expert.	Oko ebi lhebire obubaliya, anaasi bo.
"""As-tu un surnom ?"" ""Oui, c'est Rick."""	"""Ghunagwithe erina riasekia ?"" Inga ni Rick."""
Je ne trouve pas le mot pour exprimer ce que je ressens.	Singwithe ekinwq okwikangia nanyinemuyowa rithi.
Ça explique pourquoi la porte était ouverte.	Kika lheka itwowa busanaki oluyi luna kingulirwe.
Nous avons trouvé des traces de pas dans le sable.	Motwasungire ebiminyikalo biebisando biwe omo mutsanga.
La nouvelle loi est censée réduire la pollution de l'air de soixante pour cent.	Omughambo muhia aneho butsiri bugha aho eri tsandia riomuka oko sio pourcenti Makumi sita.
Permettez !	Nakwa !
Beaucoup de policiers gardaient le hall.	Abapolishi banene balwe bakatsunge ekisenge ekie hall.
Dans cette ville fantôme, il n'y a pas âme qui vive.	Omo muyi oyu owe birimu, sihali nomundu oyuka humula.
L'ennemi ne peut pas s'approcher.	Enzighu siyanga hika hakuhi nethu.
Tu regardes mes belles tulipes.	Ukalebaya ehindu hiaghe ehi tsemesire.
Vous devriez vous débarrasser de ceci.	Ngambi mwayilusyako kino.
J'enlève ma veste parce qu'il fait chaud.	Ngalusaya erikoti riaghe kundi omwisi amabia munene.
Le film est fantastique, c'est un vrai chef-d'œuvre.	Ekisesani kiowene, kihwerereko.
À ma grande surprise, la porte était ouverte.	Omwisweka riaghe, oluyi lwabia iluna kingwire.
Timéo se vante de n'avoir jamais été battu dans une course de chevaux.	Timéo akayowa athi sialiatha singwa nesyo ndibitho esye syo punda.
Regarde ! Nous venons de manquer le bus.	Lhebaya ! Twamabi thaliengurubani.
L'homme en train de se noyer appelait au secours.	Omulume oyule aka senda alwe akabirikira oko buwathikiya.
Vas-y doucement, c'est la vaisselle en faïence de ma grande tante.	Ghenda bolobolo, nieria bindu ria songali waghe mukulu.
Le paradis et l'enfer existent dans le cœur des hommes.	Olubula ne kulimu bineho, omo mithima yabalume.
Je n'ai pas besoin d'une cravate pour présenter cette émission. Les gens sont habitués à me voir en tenue sport.	Singwithe lazima ya carvante okwi kol'ekinimb'eki. Abandu babehere eri nyi sunga nesyo njimba esia kaghughulu.
Ne restez pas plantées là ! Aidez-moi à le nettoyer !	Simusighale aho mukimana muthia ! Mungwathikaye erivyeria !
Il jeta une lance sur l'ennemi.	Mwaghusire erithumo rioko nzighu.
Les entreprises qui réussissent font de bonnes analyses, de bonnes prévisions et de bons plans, mais elles ne s'y sentent pas enchaînées.	Ebisenge ebika thoka bika lhengekanaya kutsibu na ndeke, bika bika ndeke, haliwe sibiri yowa ngabi bohirwe.
"Il sortit précipitamment du taxi, en disant ""gardez la monnaie""."	"Mwakimirye omo mu toka lubaluba, akabugha athi ""mubike olusende""."
J’ai vu plus d’une fois, du fond d’une caverne noire, les jeunes filles de Kole ou d’Oëlmoe laver leurs pieds nus dans l’eau des torrents, en chantant d’une voix douce.	Mongasunga kulenga kayima, ekindu ekio mwirima, abambesa abe kole kutse abe Oëlmoe baka nabi'ebisando biabo omo mayogha, bakimba rioloriolo  .
Je suis vôtre et vous êtes mien.	Nyiri waghu na ghuli waghe.
Vous pourrez le contacter chez lui ce soir.	Wangana mweya ewiwe rio mwigholo.
J'espérais que vous seriez là aujourd'hui.	Nyilwe nyi lhengekenie ngq ukendi biaho munabwire.
Un verbe transitif est un verbe qui peut avoir une complément direct (objet direct).	Eyi kahulawamo verbe transitif yo yanagana bia neyika hulawamo complément direct (objet direct).
Je rends souvent visite à mes proches.	Kanji kanji ngaya bana abira baghe.
Brian fait faire ses devoirs par sa mère.	Brian bakamukolera esyo devoir shiwe, koyo wiwe.
Je descends du bus ici.	Ngakima omo mutoka.
Tu as appelé tes chats Noah et Jerry.	Moghuka ha ehipusu hiaghu amena Noah na Jerry.
En règle générale, l'histoire se répète.	Eri bughekwenene, esyonzakano sika subawamo.
Je pense que vous devriez vous reposer un moment.	Ngalhengekanaya, mwanga luhukire akathambi.
Je crains qu'il ne soit trop tard.	Ngubaha nyithi bwamabira.
À mon avis, face à la tomate vénéneuse et la salade infectieuse, le concombre tueur ne fait pas le poids.	Oko binyilhebire, embere sye tomate nesyo salade, ebi cocombre sibighuthe ekieri bugha.
Comme l'avait noté Scott Fitzgerald, les riches sont différents de vous et moi.	Ngoko abugha yo Scott Fitzgerald, abatheke sibali nginje naghu.
Chacun devrait pouvoir contrôler son destin.	Obuli mundu anga lhebirie ebiro biwe ebikasa.
Les appels des scientifiques pour que soient introduits des quotas de pêche ont été ignorés pendant trop longtemps.	Eribirikirwa riabasoma siri tamiywa hamabi hwa biro bienene.
Tu ne te rappelles pas ; je ne l'oublierai jamais.	Sighuthitha ibuka ; siniendisia birirwa nahake.
Dans la plupart des hôpitaux, les dossiers patients sont conservés par ordre alphabétique.	Omolupitali lunji, ebidosyo biabakoni bina bikire omo ndeke ndeke.
Je suis ravie que vous ayez pu venir.	Nyitsemire ngoko momukasa.
Ne faisons pas semblant qu'il en va autrement.	Sitwanga thala ko sibiendibia bithia.
Kate boit chaque jour beaucoup de lait.	Kate akanywa ebiro biosi amathe maneene.
Désolée de ne pas vous avoir envoyé de courriel plus tôt.	Nganyire okwibya sindithitha kuthumira ebaruha yaghu yo luba.
La vaisseau spatial a effectué un atterrissage parfait.	Ekindu eki mokikathimiro anga mo ndeke.
Ah ouais. Brillante ton idée...	Ah inga. Mulhengekania mubuya...
Tu penses être drôle ?	Ulhengekenie uthi ulimukiru ?
Quel drôle de type !	Mundu ali ghati !
C'est super ! Je regarderai ça plus tard.	Kiowene ! Ngandisya lhebiako ndangaliri.
Une noria de véhicules du SAMU, des pompiers, et des ambulances sont arrivés pour porter secours aux nombreuses victimes de l'attentat.	Eyikahulawamo noria eyemitoka ye SAMU, eyabakahir'omuka, nemitoka eya bakoni moyahikire okwi lheta obuwathikya oko bandu banene abaghalawa nobwithi.
Sinon, tout est parfait.	Naho, ebiosi biowene.
La chose la plus incroyable avec les miracles, c'est qu'ils arrivent.	Ekihubahisia nebiaswekera, rieri bughambu bika hika.
La femme n'est victime d'aucune mystérieuse fatalité : il ne faut pas conclure que ses ovaires la condamnent à vivre éternellement à genoux.	Omukali simundu oyu katseka nobuli kindu : isiwauthesa nerimulheka inailu nabiaho iniana susumene ebiro biosi.
Tiens, quelle coïncidence rarissime ! Kylia a les mêmes empreintes digitales que moi.	Imaya, quelle coïncidence Twamasala twasunga! Kylia aghute biminyikalo bighuma naye.
Je ne fais que dire que ce que les autres ont toujours voulu te dire : t'es un type arrogant et chiant.	Inje ngakubwira ebio abandi bakanza ibakubwira : ghuli mubi, nakandi ukayowa yowa nerikumba.
On se voit plus tard.	Thukandi sungana enyuma.
Je comprends ce que vous voulez dire, mais je ne suis pas sûre de la façon de le traduire.	Namabiowa ebio uka sonderi bugha, haliwe siniasi nga ngendi thoka eri kumbulabio.
Vous pensez que tout ça est une sorte de blague ?	Ukalhengekanaya ngoko ekiosi eki ni muhanda we mitsange ?
Je reviens immédiatement.	Ngalu iniasa.
Dis-lui que tu l'aimes avant qu'il ne soit trop tard !	Mubwire uthi humwanzire !
Pourquoi avez-vous voulu revenir ici ?	Busananaki mo mwanzire eri subahano?
Tu trouveras la liste des leçons sur la page des leçons en ligne.	Ukandi sunga omustari webindu ebio wigha hano.
Bonjour, chéri.	Kuthi, mwanzi waghe.
Nous devons agir, sinon il sera trop tard.	Ngambe itwakola, endambi ikandi sya bula.
Les faux amis sont bien plus sympa à traduire !	Abira babi nibene eri kumbula!
« Comment se passe l'enquête ? » « Ça avance. »	« Oburorotsyo bunemu kolawa buthi? » « Buka lolayemuliro. »
Marie est enfin venue.	Marie asalire asa.
Tu m'as promis que tu prendrais soin de Luca.	Moghuka ndagha uthi ukandi kakiria Luca.
Après avoir cru que je ne savais pas grand-chose, j'ai à présent la déprimante conviction que je ne comprends rien.	Wabi minya nga sinyilwe niashi kindu, namabi minya ngoko sinyithiowa kindu.
Bienvenue dans la vraie vie !	Kalibo omo maissa aghuwene !
C'est un mec sympa.	Omulume oyu atsemesirie.
En relisant — et souvent en corrigeant — mes phrases dans Tatoeba, j'ai parfois l'impression d'écrire le journal que j'ai toujours voulu écrire.	Nyikasoma — nyika kwararia — emilondo yaye omo Tatoeba, nga lhengekanaya nyithi nga saka omo kitabu,ekio nganza erisakamo ebiro biosi.
Vu de loin, ça ressemble à une balle.	Okwilheberya hali, kisosire akaghulu ghulu.
Je vous en prie, restez donc encore un peu ! Il n'est pas tard.	Ngaba saba, mushighaleno hake ! Siyiriyavya ndangalhiri.
Marie, voici David, frère de Joseph.	Marie,  David yono , mwalawabo Joseph.
Ai-je encore foutu le bordel ?	Kandi nabiri tsandia ?
Je crois que je suis en mesure de facilement vous expliquer cette circonstance.	Nyithi mbino ngendi thoka eri kukaniria ekindu eki.
Nous sommes toujours exposés à un type quelconque de risque.	Thukanabia ithuli oko hatari nyilhebe.
Tu ne peux plus séparer le lait du café une fois que tu l'as versé dedans.	Wangana lusaya amathe omo kawa omughulu wabiri yirabio haghumerera.
On ferait mieux de sortir d'ici !	Twangana lwire hano !
Tu disais que c'était quoi le bonheur ?	Ghulwe uka bugha uthi etseme niki?
Vous devriez suivre l'exemple de Jules.	Wanga kwamire ebio Jules alwe aka bugha.
Ce fauteuil est confortable pour s'asseoir dedans.	Ekivethe eki kiowene okwikala mukio.
C'est mon meilleur pote.	Nyimunwani waghe oyuwene.
Ce type est une vraie girouette : il change tout le temps d'avis.	Omulume oyu ni kipepewo : akabinduka oko buli ndambi.
Allô ! Qui est à l'appareil ?	Allô ! Nyiwethu ndi ?
Fichez le camp d'ici. Je suis occupée.	Mulwe hano. Ngwithe ebieri kola.
Michael Jackson n’est plus.	Michael Jackson aholire.
Un comité est un groupe de gens qui ne peuvent rien faire individuellement mais qui peuvent tenir des réunions en tant que groupe et parvenir à la décision qu'on ne peut rien faire.	E comité kiekikumula kiabandu ekio sikianga kola kindu omundu iyuwene aliwe ekiangahinganisaya abandu ngekikumula ekiangana imia emipango.
Ces filles enivrées de plaisir et de paresse qui égrènent des fortunes dans leurs doigts prodigues, escomptent par avance l'avenir et gaspillent le présent.	Avambesa aba batsemesirie nakandi nibaghata abaka bana esyo franca, baka yiramaha omo bindu bikasa, nabakatsandaya endambi eno.
Je ne comprends pas le sens exact de cette phrase.	Sindithowa omulondo oyu ngaka sonderibugha athi ki.
Le sport me tue.	Emitsange ei yika nitha.
Je veux te poser une simple question.	Nianzire inia kubulia omwatsi.
Faites taire ce gamin.	Muhunaye omwa oyu.
Mike ne peut pas avoir fait une chose pareille.	Mike sianga kola ekindu ngekio.
Tu es debout tard.	Ukinimene.
Sans preuve, tu n'as pas le droit de l'accuser de vol.	Butsira kiminyikalo, sighughuthe embangwa yerimutsongera uthi nimwibi.
Luca semblait si pauvre et si triste.	Luca alwenga mweru na kani inia luhire.
C'est un drôle de bracelet que vous portez là.	Nikibangila kia muhanda ki ekio ghumbithe ekio?
Je devrais peut-être bientôt changer ma coiffure et opérer un changement de look.	Alinga nanagana bindulire erisiswa riaghe neri mbala riaghe riondeke.
Je suis allée au zoo avec ma sœur.	Monayire omoli na mwali wethu.
Parce qu’il n’avait pas atteint l’objectif escompté, on le rendit responsable de l’échec du projet.	Kundi mwathitha hikoko ebio alwanzire, mobalu bamuha obuthaluke bwe kikolano munye.
Mon rêve c'est de voyager dans une navette spatiale.	Enzoli yaghe yeribalama omo mahwa.
Représentez-vous un crabe, ou un poulpe, ou une gigantesque... araignée en train de vous grignoter, de vous suçoter et... de vous déchiqueter doucement la cervelle.	Thania ekikingiri, kutse e  poulpe, kutse ekindu kingaha... ekisengula ekinemuku thimba thimbako, ikia ku thanda neri ku thulako bweghu beghu obongo.
Veuillez remplir ce formulaire et attendez que nous vous notifiions.	Ghubie ighunemusaka aho embere thukubirikire.
Théo ressemble à Jean : ils sont jumeaux.	Théo asosire Jean: nibahasa.
Peter et Eve forment un joli couple.	Peter na Eve nibandu batsemesire.
Tu mérites des félicitations.	Ngambe itwakubwira tuti wasingya.
Je n'ai simplement pas voulu que tu penses que j'étais radin.	Sinyithitha anza ulhengekenie nga nyiri mukurungu.
Je t'assure que je te trouverai un travail.	Ngaku bwira,ngandi sya bana omubiri.
Pierrette aperçut son ami, mais elle lui fit un signe mystérieux pour l’engager à demeurer bien caché.	Pierrette aperçut mwalolire oko murafiki wiwe, alicho mwakola ekiminyikalo nga kithiko thiko okwi mu bissa.
Que ferais-tu si tu voyais un fantôme ?	Wangakolireki wama bi sung'ekirimu ?
Ils sont restés coincés dans l'ascenseur pendant quatre heures.	Babiri matir'omo kihethuki omo ndambi ngamasaha ine.
« C'est la guerre », déclara la Grande Faucheuse tout en déposant sa faux dans un coin pour monter sur une moissonneuse-batteuse.	« Nimalwa », mwabuhire Grande Faucheuse inyiane muhira ebindu biwe omo kindu ekika pika pika ebiala.
J'espérais que tu saurais.	Nyilwe nyi lhengekenie nga ukendi sya minya.
Je savais que ça arriverait tôt ou tard.	Nyilwe niasi nga kikandisya hika kiro kighuma.
Vous aimez beaucoup la danse ?	Wanzire amasatha wo kutsibu?
J'ai droit à une réduction si je paie cash ?	Mwangana ni loberia namabi liha ?
Je ne m'attendais pas à ce qu'elle me pose cette question.	Nyilwe ngalinda anyi bulaye ekio.
Il a été battu avec une barre métallique lors d'un match de football violent.	Mwapupirwe nekiuma kinene omughulu waka ghughulu akalwe katsibu.
Mec, à la piscine tout à l'heure, la honte de ma vie, cette nana passe devant moi, et là, je chope la trique, et la nana le voit.	Mulume, oko ngetse lino lino, esisoni simo maisa waye, omukali oyu akalaba embere syaghe, naho, nyithi ngayi sangula, nomukali aka sunga ebihehe biaye.
Si les Chinois ne me parlent pas, alors je parlerai d'eux, et toc.	Aba Chinois bamabi hana eri bugha naye, ngandi bahula, nerio oho.
Gabriel a promis de revenir à la maison plus tôt ce soir.	Gabriel mwaka bugha athi akandi subeka yo luba munabwire.
C'est difficile de prouver l'existence des fantômes.	Kikalire eri kangia ngoko ebirimu bineho.
Le niveau de radiations dans la centrale japonaise de Fukushima continue d'être un sujet controversé. Certains media assurent qu'il a diminué, d'autres affirment le contraire.	Ehali yeri sambiryomuliro omo kisenge ekie fukushima ikina kala okwi kania kuyo. Obuthula ngulu bughuma bughuma bwabiri kima, nabundu sibuli bugha bighumerera.
C'était le moment parfait pour un baiser.	Yabia ndambi yuwene okwi kimia.
J'étais flic.	Nyilwe mu minyereri.
De quel droit nous donnes-tu des ordres ?	Wamabiandi okwithuha ebieri kola kwe ?
