fra	swc	swc_clean
Enfin nous faisons connaissance ! J'ai longtemps attendu ce moment.	Maraba ku mwisho tunafamiana! Nilisubiri iyi wakati muda murefu.	Maraba ku mwisho tunafamiana! Nilisubiri iyi wakati muda murefu.
Restez où vous êtes ou je vous tuerai !	Bakia kwenye uko kama sivyo nitakuua!	Bakia kwenye uko kama sivyo nitakuua!
Il se nommait Johnny.	Alikuwa naitwa Johnny.	Alikuwa naitwa Johnny.
J'ai eu le sentiment que ça valait le risque.	Nilihisikia sawa vile ilikuwa na hatari.	Nilihisikia sawa vile ilikuwa na hatari.
Il se coucha à ses genoux et lui roucoula sa romance favorite, à savoir: qu'elle était charmante, pâle comme la lune, douce comme un mouton.	Alilala ku magoti yake na akumutamukia maneno ya mapenzi anayo penda zaidi, na ambayo ni : kwamba alikuwa navutia, mwenye rangi kama mwezi, mpole kama kondolo.	Alilala ku magoti yake na akumutamukia maneno ya mapenzi anayo penda zaidi, na ambayo ni : kwamba alikuwa navutia, mwenye rangi kama mwezi, mpole kama kondolo.
Il se tient droit dans ses bottes.	Anasimama akivala boti.	Anasimama akivala boti.
J'ai la sensation que Tatoeba est devenu un endroit très agréable pour nous les amateurs de langues, et en particulier pour ceux d'entre nous qui sont capables d'apprendre des langues relativement facilement et rapidement.	Niko nasikia sawa Tatoeba ilishakuwa mahali bora sana kwetu wapenzi wa luga, na sana sana kwa siye benye tunaweza kujifunza luga za rahisi na haraka kujua.	Niko nasikia sawa Tatoeba ilishakuwa mahali bora sana kwetu wapenzi wa luga, na sana sana kwa siye benye tunaweza kujifunza luga za rahisi na haraka kujua.
L'élève, comme la rivière, aimerait suivre son cours tout en restant dans son lit...	Mwanafunzi, kama mtoni, angependa kufuata somo yake akiwa analala mu kitanda...	Mwanafunzi, kama mtoni, angependa kufuata somo yake akiwa analala mu kitanda...
Quand mes amis auront vendu leur commerce, ils se retireront à la campagne.	Wakati barafiki yangu batauzisha biashara yabo, bataenda bakia mu kijiji.	Wakati barafiki yangu batauzisha biashara yabo, bataenda bakia mu kijiji.
Si vous voulez, vous pouvez prendre les miens.	Ukitaka, unaweza kukamata yangu.	Ukitaka, unaweza kukamata yangu.
Elle est pas mal foutue.	Iko na sura na muonekano ya mubaya.	Iko na sura na muonekano ya mubaya.
Le procureur me posa une question insidieuse.	Mwendesha mashtaka aliniuliza swali ya mutego.	Mwendesha mashtaka aliniuliza swali ya mutego.
Je ne traduis plus tes phrases depuis un certain temps, et j'ai décidé de ne plus le faire. J'en ai marre de travailler avec un type arrogant comme toi.	Nakuwa na siku mingi sitafsiri phrases zako, na nimeamua kutofanya hivyo tena. Minachoga kutumika na mtu wa kiburi kama weye.	Nakuwa na siku mingi sitafsiri phrases zako, na nimeamua kutofanya hivyo tena. Minachoga kutumika na mtu wa kiburi kama weye.
« Je sais quand même bien ce que j'ai à faire ! Je n'ai nul besoin de tes conseils. » - « Comme tu voudras. À toi de voir. »	“Minajua cha kufanya! Sihitaji ushauri wako. » - « Sawa basi. Weye njo utaona. »	“Minajua cha kufanya! Sihitaji ushauri wako. » - « Sawa basi. Weye njo utaona. »
Daniel remercia le policier.	Daniel alishukuru hule polisi.	Daniel alishukuru hule polisi.
Pour changer les unités du système métrique au système de mesures anglo-saxonnes et inversement, il faut cliquer sur le bouton « Menu ».	"Kwa kubadilisha byenye kuunda mfumo wa système métrique na mfumo wa vipimo ya Kiingereza na upande mwingine, fyonda ku bouton ""Menu""."	"Kwa kubadilisha byenye kuunda mfumo wa système métrique na mfumo wa vipimo ya Kiingereza na upande mwingine, fyonda ku bouton ""Menu""."
Dévouée aux horreurs de ses funestes feux, / Didon surtout, Didon le dévore des yeux ; / et, le cœur agité d'un trouble qui l'étonne, / admire et les présents et celui qui les donne.	Kwa kujitolea mu vitisho ya moto yenye kutangaza tabu, / Dido sana sana, Dido anamwangalia kwa macho makali; / na, roho ya kuangaika na musukosuko ambao inamushangaza, / anafurahia na zawadi na ule anaye zipana.	Kwa kujitolea mu vitisho ya moto yenye kutangaza tabu, / Dido sana sana, Dido anamwangalia kwa macho makali; / na, roho ya kuangaika na musukosuko ambao inamushangaza, / anafurahia na zawadi na ule anaye zipana.
Comme ce n'est pas une zone très sure, j'ai envie de rentrer avant qu'il soit tard.	Kwa kuwa siyo eneo ya usalama sana, minataka kwenda ku nyumba kabla siachelewa.	Kwa kuwa siyo eneo ya usalama sana, minataka kwenda ku nyumba kabla siachelewa.
Nous avons amené l'ordinateur jusqu'au bureau.	Tulipeleka ordinateur mpaka ku bureau.	Tulipeleka ordinateur mpaka ku bureau.
Pardonne à tes ennemis mais n'oublie jamais leurs noms !	Wasamehe maadui zako lakini usisahabu majina yao hata siku moya!	Wasamehe maadui zako lakini usisahabu majina yao hata siku moya!
Il y a plus de filles que de garçons dans cette division.	Piko mabinti wengi kuliko wavulana mwa iyi division.	Piko mabinti wengi kuliko wavulana mwa iyi division.
Et surtout, ne racontez pas de mensonges à votre mère, car les mères sont encore plus fines que leurs enfants, et, tôt ou tard elles finissent toujours par connaître la vérité !	Na kwanza, usiambie mama yako bongo, kwa sababu wa mama ni watu bora zaidi kuliko watoto wao, na kuko siku wanaishia kujua ukweli!	Na kwanza, usiambie mama yako bongo, kwa sababu wa mama ni watu bora zaidi kuliko watoto wao, na kuko siku wanaishia kujua ukweli!
Je veux que chacun amène ses enfants.	Nataka kila mtu alete watoto wake.	Nataka kila mtu alete watoto wake.
Pardon ! J'ai oublié ton prénom. Ah non, j'y suis ! Tu t'appelles Marie.	Samahani! Nilisahabu jina prénom yako. Hapana, niko ako! Jina yako ni Maria.	Samahani! Nilisahabu jina prénom yako. Hapana, niko ako! Jina yako ni Maria.
La Russie est garante de la souveraineté de l'Ukraine, et donc de ses frontières, depuis le traité de mille-neuf-cent-quatre-vingt-quatorze, par lequel l'Ukraine renonçait, en échange, à son arsenal nucléaire.	Urusi njo inashimamia uhuru wa Ukraine, na kwa hivyo ya mipaka yake, tangu mkataba wa elfu moja mia kenda makumi kenda na ine, ambao Ukraine iliacha, kwa kubadilisha na, silaha zake za nucléaire.	Urusi njo inashimamia uhuru wa Ukraine, na kwa hivyo ya mipaka yake, tangu mkataba wa elfu moja mia kenda makumi kenda na ine, ambao Ukraine iliacha, kwa kubadilisha na, silaha zake za nucléaire.
Un bref exposé vaut mieux qu'un long discours.	Exposé fupi ni bora kuliko hotuba murefu.	Exposé fupi ni bora kuliko hotuba murefu.
Passe une superbe soirée.	Mangaribi nzuri kwako.	Mangaribi nzuri kwako.
Je pourrai revenir ?	Naweza rudia?	Naweza rudia?
« Un homme peut-il épouser la sœur de sa veuve ? » « Il en a le droit mais pas la capacité. »	« Je! Mwanauma anaweza kuoa dada ya muke wake mwenya anakufa? » « Iko na haki lakini siyo uwezo. »	« Je! Mwanauma anaweza kuoa dada ya muke wake mwenya anakufa? » « Iko na haki lakini siyo uwezo. »
Soit ce projet sera un succès formidable, soit un coup d'épée dans l'eau, sûrement rien entre les deux.	Hii muradi itakuwa na mafanikio makubwa, ao mupanga mu mayi, hakika hakuna kitu kati ya iyo.	Hii muradi itakuwa na mafanikio makubwa, ao mupanga mu mayi, hakika hakuna kitu kati ya iyo.
Mec, t'as l'air crevé. Tu devrais arrêter d'écrire pour faire une pause.	Jamaa, unaonekana unachoka. Unapashwa kuacha kuandika juu upumuzike.	Jamaa, unaonekana unachoka. Unapashwa kuacha kuandika juu upumuzike.
Il a rejoint l'entreprise juste après le lycée.	Alijiunga na kampuni kisha tu kumaliza shule ya sekondari.	Alijiunga na kampuni kisha tu kumaliza shule ya sekondari.
Il ne pouvait pas expliquer ses erreurs stupides.	Hakuweza kuelezea makosa yake ya kijinga.	Hakuweza kuelezea makosa yake ya kijinga.
Êtes-vous sûre de ne pas vouloir considérer une autre option ?	Una uhakika kama hautaki kufanya chaguo ingine?	Una uhakika kama hautaki kufanya chaguo ingine?
Je connais quelqu'un qui est parfait pour le job.	Najua mutu mwenye anafaa kwa iyi kazi.	Najua mutu mwenye anafaa kwa iyi kazi.
Hugo était extrêmement timide. Ça donnait souvent lieu à des moments bizarres.	Hugo alikuwa na haya sana. Mara mingi ilileta wakati wa kushangaza.	Hugo alikuwa na haya sana. Mara mingi ilileta wakati wa kushangaza.
Je rigole !	Nacheka!	Nacheka!
Un kangourou a surpris des agents de sécurité à l'aéroport de Melbourne, alors qu'il a été découvert en train de bondir autour de l'un des parkings !	Kanguru aliwashangaza walinzi wa uwanja wa ndege ya Melbourne, ilipo onekana ikiruka ruka kwenye parking moja hapo!	Kanguru aliwashangaza walinzi wa uwanja wa ndege ya Melbourne, ilipo onekana ikiruka ruka kwenye parking moja hapo!
J'ai dit au roi : Votre Majesté, veuillez me pardonner !	Nilimwambia mfalme: Mfalme, naomba unisamehe!	Nilimwambia mfalme: Mfalme, naomba unisamehe!
Fermez-la. Sinon, vous serez virée.	Nyamanza. Kama sio ivo, utafukuzwa mu kazi.	Nyamanza. Kama sio ivo, utafukuzwa mu kazi.
Ses revenus ont baissé de moitié après sa mise à la retraite.	Mapato yake ilipunguka nusu kisha kuacha kazi na kwenda mu mapumuziko.	Mapato yake ilipunguka nusu kisha kuacha kazi na kwenda mu mapumuziko.
Le garçon a promis qu'il ne sera plus méchant.	Kijana aliahidi kama hatakuwa tena mtu mubaya.	Kijana aliahidi kama hatakuwa tena mtu mubaya.
Achète bas, vends haut !	Uza chini, uzisha yulu!	Uza chini, uzisha yulu!
Un animal, le rat ou le kangourou, sert de totem à tout un clan.	Munyama, panya ao kanguru, inachukuliwa kama moja ya wanamemba ndani ya ukoo muzima.	Munyama, panya ao kanguru, inachukuliwa kama moja ya wanamemba ndani ya ukoo muzima.
Pensez-vous qu'elle puisse gérer son personnel ?	Unazani kama anaweza kusimamia wafanyikazi wake?	Unazani kama anaweza kusimamia wafanyikazi wake?
L'entreprise a rapidement aiguillé son activité hors de son cœur de métier dans les dernières années.	Hiyo kampuni ilibadilisha kwa haraka shughuli yake ya musingi mu miaka ya nyuma nyuma.	Hiyo kampuni ilibadilisha kwa haraka shughuli yake ya musingi mu miaka ya nyuma nyuma.
Ne bougez pas jusqu'à ce que je revienne.	Usitoke mpaka nirudie.	Usitoke mpaka nirudie.
Les langages interprétés comme Ruby ou Lua ne sont pas compilés et nécessitent par conséquent une sorte de moteur d'exécution.	Luga zilizotafsiriwa kama Ruby au Lua hazijakusanywa na kwa hivyo zinahitaji aina ya ufundi ya kuzifanya zitumike.	Luga zilizotafsiriwa kama Ruby au Lua hazijakusanywa na kwa hivyo zinahitaji aina ya ufundi ya kuzifanya zitumike.
Ton nom a été retiré de la liste.	Jina yako iliondolewa ku liste.	Jina yako iliondolewa ku liste.
Qu'est-ce que fout ce conteneur dans notre port de Hambourg ?	Hii kontenere inafanya nini ndani ya bandari yetu ya Hambourg?	Hii kontenere inafanya nini ndani ya bandari yetu ya Hambourg?
Certaines odeurs peuvent facilement évoquer des souvenirs d'enfance.	Kuna harufu fulani zenye zinaweza kuleta kumbukumbu za mu butoto.	Kuna harufu fulani zenye zinaweza kuleta kumbukumbu za mu butoto.
Je me suis retrouvé piégé dans un cercle vicieux.	Nilijikuta minanaswa mu muzunguko isiyo kuwa na mwanzo ao mwisho.	Nilijikuta minanaswa mu muzunguko isiyo kuwa na mwanzo ao mwisho.
Il va falloir qu'il les achète.	Itabidi aziuze tu.	Itabidi aziuze tu.
Montrez-moi ce que vous avez caché derrière votre dos !	Nioneshe ulichoficha nyuma ya mgongo wako!	Nioneshe ulichoficha nyuma ya mgongo wako!
"La guerre du Vietnam, est très justement connue au Vietnam sous le nom de ""Guerre Américaine""."	"Vita vya Vietnam vinajulikana sana nchini Vietnam kama ""Vita vya Amerika""."	"Vita vya Vietnam vinajulikana sana nchini Vietnam kama ""Vita vya Amerika""."
Tenez, buvez ça.	Kamata, kunywa iyi.	Kamata, kunywa iyi.
Trop tard ! Elle nous a déjà vus.	Ulisha chelewa! Alisha tuona.	Ulisha chelewa! Alisha tuona.
Aucune preuve n'a jamais été trouvée.	Hakuna ushahidi umewahi kupatikana.	Hakuna ushahidi umewahi kupatikana.
Mettez ça dans votre coffre à jouets.	Weka hii kwenye sanduku yako ya kuchezea.	Weka hii kwenye sanduku yako ya kuchezea.
Au fond, voyez-vous, le chagrin, c'est comme le ver solitaire : le tout, c'est de le faire sortir.	Kiundani, unaona, huzuni, ni kama minyoo: yote, ni kuitosha.	Kiundani, unaona, huzuni, ni kama minyoo: yote, ni kuitosha.
Je me demande combien de temps nous avons gâché jusqu'à présent.	Minajiuliza ni muda gani tulipoteza mpaka sasa.	Minajiuliza ni muda gani tulipoteza mpaka sasa.
Il sera éduqué et prendra le droit chemin.	Ataadibishiwa na kukamata njia inayofaa.	Ataadibishiwa na kukamata njia inayofaa.
La guerre a atteint sa phase finale.	Vita imefikia hatua yake ya mwisho.	Vita imefikia hatua yake ya mwisho.
Je pensais que la fac, c'était plus marrant.	Nilizani chuo kikuu kilikuwa cha kufurahisha zaidi.	Nilizani chuo kikuu kilikuwa cha kufurahisha zaidi.
L'idée de Dieu serait plus intéressante si au lieu d'avoir créé les humains, il les avait trouvés.	Wazo ya Mungu itapendeza zaidi kama kuliko kuumba wanadamu, angewapata.	Wazo ya Mungu itapendeza zaidi kama kuliko kuumba wanadamu, angewapata.
Avez-vous enregistré votre produit ?	Uliandikisha biashara yako?	Uliandikisha biashara yako?
Du wirst sehen, wir werden in Top-Form ins neue Jahr rutschen!	Du wirst sehen, wir werden in Top-Form ins neue Jahr rutschen!	Du wirst sehen, wir werden in Top-Form ins neue Jahr rutschen!
Il n'y a, au fond, de réel que l'humanité.	Hakuna, moyoni, kitu ya kweli isipokuwa ubinadamu.	Hakuna, moyoni, kitu ya kweli isipokuwa ubinadamu.
Ils ont une plus grande puissance de feu que nous, mais nous bénéficierons de l'effet de surprise.	Wako na nguvu zaidi kuliko sisi, lakini tutafaidika kwa kuwashitukia.	Wako na nguvu zaidi kuliko sisi, lakini tutafaidika kwa kuwashitukia.
Vous vous inquiétez trop pour Ethan.	Uko na wasiwasi sana juu ya Ethan.	Uko na wasiwasi sana juu ya Ethan.
Ce cheval peut être un bon pari.	Inaweza kuwa muzuri kupingia kwa iyi farasi.	Inaweza kuwa muzuri kupingia kwa iyi farasi.
J'ai l'honneur de porter à votre connaissance que notre affaire sera entendue à l'audience de la troisième chambre du Tribunal du Travail de Charleroi, le <date>.	Ni kwa heshima njo nakujulisha kwamba kesi yetu itasikilizwa na chumba ya tatu ya mahakama ya kazi ya Charleroi, tarehe <date>.	Ni kwa heshima njo nakujulisha kwamba kesi yetu itasikilizwa na chumba ya tatu ya mahakama ya kazi ya Charleroi, tarehe <date>.
Ramène Sami à l'arrêt de bus.	Mulete Sam kwenye kituo cha bisi.	Mulete Sam kwenye kituo cha bisi.
L'incendie fut immédiatement éteint.	Moto ilizimwa mara moja.	Moto ilizimwa mara moja.
J'ai l'impression qu'elle cache quelque chose.	Niko naona kwamba anaficha kitu.	Niko naona kwamba anaficha kitu.
Vous voulez bien partir ? J'aimerais m'habiller.	Unaweza enda? Ningependa kuvala.	Unaweza enda? Ningependa kuvala.
Heureusement que la main connaît la bouche ! Autrement, c'est fichu !	Kwa bahati nzuri, mkono inajua kinywa! Vinginevyo, imeharibiwa!	Kwa bahati nzuri, mkono inajua kinywa! Vinginevyo, imeharibiwa!
Surtout, pas de bêtises !	Zaidi ya yote, hakuna mambo ya ujinga!	Zaidi ya yote, hakuna mambo ya ujinga!
Dans le désert, une roue de secours ne sert à rien. Encore faudrait-il pouvoir soulever la voiture sur du sable.	Mu jangwa, pneu ya kusaidia haina maana. Na tena itabidi kuweza kuinua gari kwenye mchanga.	Mu jangwa, pneu ya kusaidia haina maana. Na tena itabidi kuweza kuinua gari kwenye mchanga.
La maladie est facilement curable avec une transfusion sanguine d'un parent, surtout un frère.	Ugonjwa huo unatibika kwa urahisi na damu kutoka kwa mwanamemba wa jamaa, sana sana kaka.	Ugonjwa huo unatibika kwa urahisi na damu kutoka kwa mwanamemba wa jamaa, sana sana kaka.
Je suis enchanté de faire votre connaissance.	Nimefurahi kukutana na weye.	Nimefurahi kukutana na weye.
Les pauvres gosses tremblaient de peur.	Batoto balikuwa natetemeka kwa woga.	Batoto balikuwa natetemeka kwa woga.
Bonjour, je m'appelle Tina.	Jambo, naitwa Tina.	Jambo, naitwa Tina.
Assure un bon départ en observant soigneusement.	Hakikisha mwanzo mzuri kwa kuchunguza kwa uangalifu.	Hakikisha mwanzo mzuri kwa kuchunguza kwa uangalifu.
Je suis au commissariat.	Niko ku kituo cha polisi.	Niko ku kituo cha polisi.
L'eau s'est arrêtée de couler car le tuyau s'est entortillé.	Maji aliacha kutiririka kwa sababu tuyau ilitoboka.	Maji aliacha kutiririka kwa sababu tuyau ilitoboka.
Sur eux, le fer en main, nous fondons avec joie, / et nos dieux sont admis à cette riche proie. / Une table, dressée au bord courbé des mers, / se couvre de ces mets par le hasard offerts.	Yulu yabo, chuma mu mikono, tunajazwa na furaha, / na miungu yetu inakubaliwa kwa iyi mawindo nzuri. / Meza, ilipangwa pembezoni mwa bahari, / inayala hizi chakula zenye zilitolewa kwa bahati.	Yulu yabo, chuma mu mikono, tunajazwa na furaha, / na miungu yetu inakubaliwa kwa iyi mawindo nzuri. / Meza, ilipangwa pembezoni mwa bahari, / inayala hizi chakula zenye zilitolewa kwa bahati.
Presque tous les hommes, frappés par l'attrait d'un faux bien ou d'une vaine gloire, se laissent séduire, volontairement ou par ignorance, à l'éclat trompeur de ceux qui méritent le mépris plutôt que la louange.	Karibu watu wote, waliopigwa na muvuto ya uzuri ya uongo ao utukufu wa bure, wanaruhusu kuitika, kwa mapenzi yao ao kwa kutokujuwa, kwa mwangaza wa udanganyifu wa wale ambao wanastahili zarau kuliko sifa.	Karibu watu wote, waliopigwa na muvuto ya uzuri ya uongo ao utukufu wa bure, wanaruhusu kuitika, kwa mapenzi yao ao kwa kutokujuwa, kwa mwangaza wa udanganyifu wa wale ambao wanastahili zarau kuliko sifa.
Maxime a versé du lait dans un bol pour ses chats.	Maxime alimwanga maziwa ndani ya bakuli kwa ajili ya pusi zake.	Maxime alimwanga maziwa ndani ya bakuli kwa ajili ya pusi zake.
J'ai adoré le lycée.	Nilipenda sana shule ya sekondari.	Nilipenda sana shule ya sekondari.
Au secours ! au secours ! cria Pierrette, on me tue !	Naomba munisaidie! munisaidie! Pierrette alilalamika , bananiua!	Naomba munisaidie! munisaidie! Pierrette alilalamika , bananiua!
Tu commences sérieusement à me taper sur les nerfs.	Unaanza niuzi sana.	Unaanza niuzi sana.
Sur le quai, il lut un panneau d'avertissement : « Attention ! Un train peut en cacher un autre. »	Kwenye panneau alisoma onyo yenye kusema: « Angalisho! Treni moja inaweza kujificha ingine. »	Kwenye panneau alisoma onyo yenye kusema: « Angalisho! Treni moja inaweza kujificha ingine. »
Nancy est allée à Londres de même qu'à Paris.	Nancy alienda Londres na Paris pia.	Nancy alienda Londres na Paris pia.
Je déteste le défilement infini parce que je crois fermement que les utilisateurs ont le droit de choisir s'ils veulent charger la page suivante ou pas.	Minachukiaka kufanya défilement isiyo kuwa na mwisho kwa sababu minazani kama watumiaji wana haki ya kuchagua kama wanataka kuingia ku page ya kufata ao hapana.	Minachukiaka kufanya défilement isiyo kuwa na mwisho kwa sababu minazani kama watumiaji wana haki ya kuchagua kama wanataka kuingia ku page ya kufata ao hapana.
« Veux-tu aller au bal avec moi ? » « Je suis vraiment désolée, mais je ne peux pas. »	« Unataka enda na miye kwenye sherehe? » « Samahani sana, lakini siwezi. »	« Unataka enda na miye kwenye sherehe? » « Samahani sana, lakini siwezi. »
Restez à l'écart.	Ikala mbali.	Ikala mbali.
Je sais que tu m'aimes, mais tout ce que je ressens pour toi, c'est de l'amitié.	Najua unanipenda, lakini chenye minasikia juu yako, ni urafiki.	Najua unanipenda, lakini chenye minasikia juu yako, ni urafiki.
Grace à un besoin urgent il n'a pas pu venir.	Kutokana na hitaji ya haraka hakuweza kuya.	Kutokana na hitaji ya haraka hakuweza kuya.
Le comté de Galles a certainement plus de fraîcheur que notre Bretagne. Mais sur la lande pierreuse, c'est bien la même végétation mélancolique: bruyères, fougères, et l'ajonc épineux.	Kata ya Wales hakika ni safi kuliko Bretagne yetu. Lakini kwenye budongo ya mawe, ni mimea ile ile ya kusikitisha: mumea ya maua (bruyère), mimea isiyo kuwa na maua ao mbegu (fougère) na ajonc ya miba.	Kata ya Wales hakika ni safi kuliko Bretagne yetu. Lakini kwenye budongo ya mawe, ni mimea ile ile ya kusikitisha: mumea ya maua, mimea isiyo kuwa na maua ao mbegu na ajonc ya miba.
Mathis ne voulait pas suivre les traces de son père.	Mathis hakutaka kufuata nyayo za baba yake.	Mathis hakutaka kufuata nyayo za baba yake.
Vous savez qui est ce mec ?	Unajua huyu jamaa ni nani?	Unajua huyu jamaa ni nani?
Est-il nécessaire que je lui en explique la raison ?	Je! Ni muhimu nimuelezee sababu?	Je! Ni muhimu nimuelezee sababu?
Elle portait une robe décolletée dans le dos jusqu'à la naissance des fesses.	Alikuwa navala robe ya mufupi kutoka mu mugongo mpaka sehemu ya mwanzo ya matako.	Alikuwa navala robe ya mufupi kutoka mu mugongo mpaka sehemu ya mwanzo ya matako.
C'est comme un zéro, il n'a en lui-même aucune importance, seule sa position dans la société est importante.	Ni kama sifuri, hana ata faida ndani yake mwenyewe, cheo yake ndani ya jamii njo tu ya muhimu.	Ni kama sifuri, hana ata faida ndani yake mwenyewe, cheo yake ndani ya jamii njo tu ya muhimu.
Lorsque John est revenu, il semblait pâle, comme s'il avait vu un fantôme.	Wakati John alirudia, alionekana hana furaha, kama vile alikuwa naona muzimu.	Wakati John alirudia, alionekana hana furaha, kama vile alikuwa naona muzimu.
La pointe de la lance était trempée dans un poison mortel.	Chongo ya mukuki ilikuwa natiwa mu sumu ya kuua.	Chongo ya mukuki ilikuwa natiwa mu sumu ya kuua.
Tu regardes une belle fleur.	Unaangalia liua nzuri.	Unaangalia liua nzuri.
Une fille a le droit de rêver, non ?	Binti iko na haki ya kulota, si ndiyo?	Binti iko na haki ya kulota, si ndiyo?
L'orateur couvrit le micro de sa main et chuchota quelque chose à la femme assise à son côté.	Musemaji alifunika micro na mukono yake na kuambia kitu fulani mwanamuke mwenye alikua anaikala karibu nayeye kwa sauti ya chini.	Musemaji alifunika micro na mukono yake na kuambia kitu fulani mwanamuke mwenye alikua anaikala karibu nayeye kwa sauti ya chini.
Enlève son nom de la liste des candidats.	Toa jina yake ku liste ya wagombeaji.	Toa jina yake ku liste ya wagombeaji.
Ce baiser était fantastique.	Hii bizu ilikuwa ya muzuri sana.	Hii bizu ilikuwa ya muzuri sana.
Vous étiez vivant lorsque vous êtes né et vous êtes vivant en ce moment, donc vous deviez être vivant à n'importe quel instant entre les deux. Cela implique que la vie de tout un chacun est convexe.	Ulikuwa hai wakati ulizaliwa na uko hai sasa, kwa hivyo unapashwa kuwa hai wakati wowote katikati ya hizi mbili. Hii inamaanisha kuwa maisha ya kila mtu iko muviringo.	Ulikuwa hai wakati ulizaliwa na uko hai sasa, kwa hivyo unapashwa kuwa hai wakati wowote katikati ya hizi mbili. Hii inamaanisha kuwa maisha ya kila mtu iko muviringo.
La modification du programme a eu un léger effet de bord.	Marekebisho ya programme ilileta mabadiliko kidogo.	Marekebisho ya programme ilileta mabadiliko kidogo.
Vous ne devriez pas faire à cet enfant ses quatre volontés. Ça va le rendre très égoïste.	Haupashwi kumutimizia huyu mutoto mahitaji yake ine. Itamufanya akuwe mtu wa kujipendelea sana.	Haupashwi kumutimizia huyu mutoto mahitaji yake ine. Itamufanya akuwe mtu wa kujipendelea sana.
J'ai connu un mec qui s'appelait Tom.	Nilikuwa najua jamaa mumoja mwenye anaitwa Tom.	Nilikuwa najua jamaa mumoja mwenye anaitwa Tom.
L'essentiel est d'établir un dialogue direct, un dialogue direct et de très haute tenue entre les actuelles autorités de Kiev et les représentants du Sud-Est de l'Ukraine.	Ya maana ni kuanzisha mazungumuzo ya moja kwa moja, mazungumuzo ya moja kwa moja na ya kiwango cha juu sana kati ya wakubwa wa inchi wa sasa huko Kiev na wasimamizi wa kusini-mashariki ya Ukraine.	Ya maana ni kuanzisha mazungumuzo ya moja kwa moja, mazungumuzo ya moja kwa moja na ya kiwango cha juu sana kati ya wakubwa wa inchi wa sasa huko Kiev na wasimamizi wa kusini-mashariki ya Ukraine.
Lance la balle !	Tupa mupira!	Tupa mupira!
Je suis à peu près sûre que Raphaël n'a pas de frères et sœurs.	Niko na uhakika kama Raphael hana ndugu yoyote.	Niko na uhakika kama Raphael hana ndugu yoyote.
Brian tient la main de Kate.	Brian anamukamata Kate mukono.	Brian anamukamata Kate mukono.
Nous avons changé nos plans parce qu'elle est arrivée tard.	Tulibadilisha mipango yetu kwa sababu alichelewa kufika.	Tulibadilisha mipango yetu kwa sababu alichelewa kufika.
Elle s'est réveillée trop tard et elle était en retard à l'école.	Alichelewa kulamuka na alikuwa anachelewa kwenda ku masomo.	Alichelewa kulamuka na alikuwa anachelewa kwenda ku masomo.
Elle a menti en disant qu'elle était enceinte.	Alidanganya kuwa alikuwa mjamzito.	Alidanganya kuwa alikuwa mjamzito.
Vous aurez le droit de choisir.	Utakuwa na haki ya kuchagua.	Utakuwa na haki ya kuchagua.
Si on utilisait le pronom « one », cela ferait très bien l'affaire pour soulager le désagrément de ne pas disposer d'un pronom neutre en anglais.	"Kama tungetumia prénom ""one"", itafanya vizuri sana kupunguza usumbufu wa kutokuwa na prénom isiyo kuwa kwenye upande wowote mu Kiingereza."	"Kama tungetumia prénom ""one"", itafanya vizuri sana kupunguza usumbufu wa kutokuwa na prénom isiyo kuwa kwenye upande wowote mu Kiingereza."
J'espérais que vous auriez fini avant mon retour.	Nilikuwa natumainia kama ungekuwa ulisha maliza kabla nirudie.	Nilikuwa natumainia kama ungekuwa ulisha maliza kabla nirudie.
C'est ma faute, pas la vôtre.	Ni kosa yangu, sio yako.	Ni kosa yangu, sio yako.
J'adorerais être en mesure de trouver davantage de temps que je pourrais consacrer à me détendre.	Ningependa kuwa na uwezo wa kupata wakati mwingi yenye naweza tumia kwa kupumuzika.	Ningependa kuwa na uwezo wa kupata wakati mwingi yenye naweza tumia kwa kupumuzika.
Si Ben Ali avait été occidental, il serait encore au pouvoir.	Ingelikua Ben Ali alikuwa na tabia ya watu wa bara la asia, kama angali ku madaraka.	Ingelikua Ben Ali alikuwa na tabia ya watu wa bara la asia, kama angali ku madaraka.
Il faut prendre soin de ses proches.	Unapashwa utunze wapendwa wako.	Unapashwa utunze wapendwa wako.
Tatoeba : Rejoins le côté obscur. Nous avons des biscuits au chocolat.	Tatoeba: Jiunge na upande wa giza. Tuna biskwiti za shokola.	Tatoeba: Jiunge na upande wa giza. Tuna biskwiti za shokola.
Dan a laissé un paquet de preuves sur les lieux du crime.	Dan aliacha kifungu ya ushahidi kwenye eneo ya mauaji.	Dan aliacha kifungu ya ushahidi kwenye eneo ya mauaji.
Descends du train immédiatement.	Shuka mu gari moshi mara moja.	Shuka mu gari moshi mara moja.
Quel type de traitement recevrai-je ?	Nitapata matibabu ya aina gani?	Nitapata matibabu ya aina gani?
Ken a appelé ses chats Hugo et Jerry.	Ken aliita pusi zake Hugo na Jerry.	Ken aliita pusi zake Hugo na Jerry.
Monsieur Briggs n'est pas qu'un simple médecin, c'est un chirurgien qui a fait ses preuves.	Bwana Briggs sio muganga tu, ni muganga muzuri wa upasuaji.	Bwana Briggs sio muganga tu, ni muganga muzuri wa upasuaji.
Je ne l'ai pas volée. Vous pouvez vérifier mes poches.	Sikuiiba. Unaweza kuangalia mifuko yangu.	Sikuiiba. Unaweza kuangalia mifuko yangu.
