fra	lin
Il a pardonné à sa soeur.	Alimbisaki ndeko na ye ya mwasi.
Il se dépêche de rattraper le retard.	Akeyi na lombango koluka kokokisa ngonga oyo alekisaki.
Je t'assure que l'honnêteté paie sur le long terme.	Nakoyebisa yo ete bosembo efutaka na ngonga molayi.
Débrouillez-vous, ne comptez sur personne (comme dit la poule : frappe du bec, pas de sein (à téter)).	Misalisa, kotalela moto te (Lolenge soso alobaka: beta monoko, kasi mabele te (ya komela).
On observe qu'en France, le plus souvent, les critiques musicaux sont sourds et les critiques d'art aveugles. Cela leur permet le recueillement nécessaire aux idées esthétiques.	Tomonaka na France, mbala mingi, ete baoyo batongaka miziki bakufa matoyi mpe baoyo batongaka ntoki bakufa miso. Yango nde esungaka bango bamanyola malamu makanisi ma estetike.
Écoute, regarde et ne bouge pas.	Yoka, tala mpe koningana te.
Lui-même il se retrouve au plus fort des combats. / Il voit le noir Memnon de ses ardents climats / traîner ses noirs guerriers.	Ye moko azali na mozindo ya bitumba. /Amoni Memnon moindo ya bizaleli na ye ya makasi / komema babundi na ye ya moindo.
Je pars m'envoler pour New York ou toute autre destination.	Nazali kopimbwa na New York to esika mosusu.
"""Vous êtes ici pour suivre mes ordres."" ""Dans tes rêves, mon pote !"""	"""Bozali awa mpo na kolanda mibeko na ngai."" ""Ozali kolota, moninga na ngai !"""
Les discussions entre les employés et la direction n'aboutirent à aucun résultat clair.	Masolo ya basali na bakonzi ekopesa litomba ya malamu te.
Je ne gère pas leur société.	Nakambaka kompanyi na bango te.
Arrêtez d'être aussi attardée, bordel !	Tikaka kozalaka zoba bongo!
Tout au bout des voies carrossables existent quatre ou cinq petits villages. Ils se trouvent disséminés sur les pentes montagneuses dans des forêts de chênes.	O kati ya nzela ya kitoko, mboka minei to mpe mitano izali. Bapanzanaki likolo ya ngomba ya zamba ya chêne.
La Chine a balayé les restes de l'impérialisme britannique en 1997 avec la rétrocession de Hong-Kong. A l'avenir, elle se débarrassera de la présence impérialiste américaine en renforçant sa présence militaire en Extrême-Orient.	Ekolo Chine ekombolaki ndambo oyo etikalaki ya lokoloni ya ekolo Grande-Britanye na mobu 1997 ntango abotolaki Hong-Kong. Mikolo mizali koya, akobengana lokoloni ya ekolo Amerika na komatisa ma mapinga ma ye na Extrême-Orient.
Dick m'a passé la photo.	Dick apesi ngai foto.
N'est-il pas temps, les mecs, d'enterrer la hache de guerre et d'oublier le passé ?	Ntango ekoki te, baninga, ya kokunda mopanga ya etumba mpe kobosana maye malekaki ?
Je suis désolé de vous déranger pendant que vous parlez.	Mawa na ndenge nazali kotungisa yo ntango ozali kolola.
Elle avait la taille bien prise, une jupe demi-longue, des souliers hauts, l’air doux et effronté d’une gamine qui devient jeune fille.	Azalaki elenge mwasi na nzoto kitoko, jupe ya mwa mokuse, sapato ya likolo, azalaki na elongi ya kimya mpe ya elenge mwasi oyo akoli.
N'êtes-vous pas opposé à ce que j'ouvre la fenêtre pour laisser sortir la fumée ?	Nakoki kofungola lininisa mpo ete milinga ebima ?
Ce joli bébé est le fruit de leur passion.	Bebe oyo ya kitoko azali mbuma ya bolingo na bango.
John et Sue décidèrent enfin de couper la pomme en deux.	John mpe Sue bayokani bakata pome na biteni mibale.
Je crains pour l'avenir de l'espèce humaine.	Nazali kobanga na oyo etali lobi na biso bato.
Si je vous le disais, je devrais vous tuer.	Soki nayebisi yo, esengelaki naboma yo.
Mike a un ami qui vit à Chicago.	Mike azali na moninga moko oyo azalaka na Chicago.
Il est né d'une mère juive et d'un père musulman, cela l'a beaucoup aidé à cultiver une certaine ouverte d'esprit.	Abotami na mama moyuda mpe na tata musuluma, yango esalisi ye mingi mpo ete azala na molimo ya kofungwama.
C'est l'église où Blake est enterré.	Ezali Eklezia oyo bakundaki Blake.
Martha est une excellente pianiste.	Martha azali mobeti monene ya piano.
Si je savais bien dessiner, je peindrais des images dans le style de « Où est Charlie ? », mais sans Charlie.	Soki nayebaki kosala liyemi, nalingaki nazwa bilili lolenge ya « Charlie azali wapi ? », kasi Charlie azali te.
Mierscheid mérite le prix Nobel pour sa découverte de la corrélation entre la production d’acier brut en Allemagne de l'Ouest en millions de tonnes et le résultat électoral de la SPD en pourcentage de voix.	Mierscheid asengeli kozwa mbano mpo na bobomboli na ye ya bomoko kati ya bosali ebende na Alemani ya westi na bamiliyo ya toni mpe etalisi bilembo ya maponami ya SPD na mituya ya mingongo.
Vous cherchez un costume ? Pour quelle occasion ?	Bozali koluka kazaka? Mpo na ntina nini ?
Avant tout, reste à prouver que la réduction du temps de travail crée de nouveaux emplois.	Likolo ya nyonso, esengeli koyeba ete kokitisa ngonga ya mosala ekobota misala ya sika.
Qu'apprendre d'un chien ? Que lorsque les êtres aimés arrivent à la maison, il faut toujours courir les accueillir.	Okoyekola nini o nzela ya mbwa? Ntango nyonso balingani bakokoma na ndako, esengeli ntango nyonso kokima mbangu mpo na koyamba bango.
Je garde de beaux souvenirs de cet endroit.	Natikali na makanisi ya malamu ya esika oyo.
Elle n'est pas le type de fille que tu imagines.	Azali lolenge ya bilenge basi oyo ozali kokanisa te.
Ce n'est pas tout à fait exact. C'est même complètement faux dans de nombreux cas.	Ezali mpenza bongo te. Ezali kutu na makambo mingi na ndenge wana te.
La loi sur le transfert des obligations de surveillance de l'étiquetage de la viande bovine a été votée sous un autre nom.	Mobeko mpo ya botindi mibeko ya mokengeli lolenge ya kotiya elembo ya ngombe endimamaki na nkombo mosusu.
Zut, j'ai encore raté le train !	Zut, nazangi lisusu engunduka.
N'appelle pas les flics, mec !	Kobenga bapolisi te, ndeko !
Nuit effroyable ! hélas ! de ces scènes affreuses / qui pourrait retracer les tragiques horreurs? / Quels yeux pour ce désastre auraient assez de pleurs?	 Butu ya nsomo! Mawa ! Na maye makobangisa/nani akoki  kokanisa maye ya mabe? /Miso nini ekolemba te kolela maye ya mpasi esalamaki?
Tu dis que je le connais bien, mais en réalité, on me l'a présenté la semaine dernière.	Olobi ete nayebi ye malamu, kasi na bosolo,  balakisaki ngai ye na mposo eleki.
Ferme-la et écoute, gamin.	Kanga monoko mpe yoka, elenge.
Imaginez un peu ce qu'il a dû subir pour en arriver là aujourd'hui.	Kanisa moke mpasi amonaki mpo ete akoma esika azali lelo.
La société change de plus en plus de visage.	Esika ya mosala ezali kokoma ya sika ntango na ntango.
Jennifer se bat.	Jennifer azali kobunda.
Il faut attaquer l'opinion avec ses armes : on ne tire pas des coups de fusil aux idées.	Esengeli kobunda na maye mazali kolobama na mandoki na ye: babetaka makanisi masasi te.
Frank étudiait principalement la sociologie à l'université.	Frank atangaki mingi mpenza sosiolozi na université.
Les sous-traitants disent qu'après avoir terminé tous les travaux requis conformément au cahier des charges, Jules aurait carrément refusé de payer leurs factures ou ne leur aurait payé qu'un tiers du montant qu'ils avaient facturé.	Baye batali makambo ya mbongo balobi ete, nsima ya bosilisi misala engebene na mikanda ya charges, Jules asengelaki koboya kofuta bafactures to mpe asengelaki kofuta kaka ndambo ya mbongo eye basengaki ye.
Est-ce que vous avez baisé ensemble, les mecs ?	Bosilaki kopesana bipwepwe, bandeko mibali ?
Si tu demandes à une femme quelle est sa marque préférée et qu'elle répond par une marque de chocolat, c'est qu'elle est belge !	Soki otuni mwasi nkombo ya eloko oyo alingaka makasi koleka, mpe soki ayanoli yo na nkombo ya shokola, elingi koloba ete azali belge !
l'Europe doit affronter les problèmes que pose le vieillissement de sa population.	Eropa esengeli eluka kolonga mikakatano oyo bobange ya bato ba ye bazali kotuna.
La pluie crépita doucement sur le toit de la cabane.	Mbula ebandaki kobeta malembe malembe likolo ya motondo ya ndako ekie.
Jonathan Swift me défendrait.	Jonathan Swift akobundela ngai.
Après avoir roulé sa bosse, tant en France qu'en Amérique, il décida de s'installer dans un village isolé du Roussillon.	Nsima ya kokosa mokonzi na ye ya mwasi na France to na Amerika, azuaki mokano ya kokende kofanda na mboka moko ebatama ya Roussillon.
Nous allons devoir doubler notre budget pour l'an prochain.	Esengeli tomatisa mbala mibale misolo na biso mpo na mobu mozali koya.
Certaines années, au même titre que certains poètes, certains politiciens et certaines belles femmes, se distinguent par une renommée qui va bien au-delà du lot commun, et 1929 fut clairement une telle année.	Mibu misusu, lolenge moko na bakomi ntoki misusu, bato ya politiki misusu mpe basi misusu ya kitoko, bayebanaka o nzela eye ezalaki ya moto nyonso te, mpe mobu nkoto moko nkama libwa na ntuku mibale na libwa (1929) ezalaki polele mobu mona.
"L'""État"" terroriste que les services secrets occidentaux manipulent pour la destruction d'États laïcs et souverains est une opportunité pour ce système raciste et colonialiste de prospérer."	"""Ekolo"" ya bobangisi oyo basali ya misala ya sekele ya mboka ya Eropa basalelaka mpo na kobebisa bikolo laiki mpe ya bosomi ezali eposa mpo na bakaboli langi ya bato mpe bato oyo batondi mposa ya kokonza mboka misusu bafuluka."
Ils vidèrent des bouteilles de vin de Bordeaux dans le caniveau devant les caméras de télévision, en criant des slogans contre la France qui refusait la guerre en Iraq.	Basopaki milangi ya vino ya Bordeaux o kati ya talase liboso ya bapanzi nsango, mpe babandaki koganga mpe kobwaka bibwakela na France zambi eboyaki bitumba na Iraki.
L'homme ordinaire tient la religion pour vrai, l'homme sage la trouve fausse et les chefs, utile.	Moto motawu amonaka losambo ezali bosolo, moto ya mayele amonaka yango mabe, mpe bakonzi bamonaka ntina na yango.
""" Mais vous, si je vous sers, ô généreux Troyens ! / si je sauve vos jours, qu'on épargne les miens ! """	""" Kasi bino, soki nasaleli biso, ô baTroyens ya mitema malamu ! / soki nabikisi mikolo na bino, babikisa mpe ya ngai. """
Je suis désolé d'apprendre que vous aviez appelé chez moi hier alors que j'étais absent.	Bolimbisi, nayoki ete obengaki na ndako na ngai lobi kasi nazalaki te.
Le nom de Barry Taylor a été avancé pour le poste de président.	Nkombo ya Barry Taylor etiamaki liboso mpo na kiti ya bokonzi.
J'ai compris que la rumeur était fondée.	Nasosoli ete nungunungu ezalaki ya solo.
Si tu étais un espion essayant de te faire passer pour un natif et que tu le disais de cette manière, il est probable que tu te ferais prendre.	Soki ozalaki monongi oyo azalaki komimonisa lokola mwana ya awa na lolenge oyo, ekoki kosalema bakanga  nde yo.
On ne peut appeler parfum l'odeur de ce parfum parce qu'il pue !	Tokoki kobenga nsolo oyo malasi te mpo ezali nsomo mabe.
Tu te trompes lorsque tu penses qu'il a tort.	Ozali komikosa ntango ozali kokanisa ete asali mabe.
Aucune autopsie n'a été effectuée.	Bopasoli ebembe ata moko esalamaki te.
La cliente pousse la porte et entre dans la boutique.	Mosombi biloko atindiki ekuke mpe akoti kati ya butiki.
Ne bouge pas un instant, pendant que j'arrange ta cravate.	Koningana ata moke te ntango nazali kobongisa kalavati na yo.
Je suis content que la pluie se soit arrêtée.	Nasepeli ndenge mbula esili.
T'es-tu rendu compte que dernièrement les étudiants de classe primaire ont grandi ?	Omoni ndenge mikolo oyo eleki bana ya kelasi ya yambo bakoli ?
Elena est la plus grande fille de la classe.	Elena azali mwana-mwasi ya mokolo ya kelasi na ye.
Voilà déjà six mois que je connais Louise.	Nsanza motoba eleki uta nayebani na Louise.
Que s'est-il passé pour que tu rigoles ainsi ?	Likambo nini esekisi yo boye?
L'actrice préférée de Noah est Ellen Page.	Mosali ya bilili (film) oyo Noah alingaka koleka ezali Ellen Page.
""" Ne crains ni Céléno, ni ses menaces vaines, / ni ces tables qu'un jour doit dévorer ta faim ; / le destin t'aidera ; compte sur le destin ; / compte sur la faveur d'Apollon qui m'inspire. """	"""Kobanga Céléno, to matumoli na ye te, /ata mesa iye nzala na yo ekolia mokolo moko ;/ nzambe akosunga yo, talela ye; / tiya kondima na yo na ngolu ya Apollon oyo apesaka ngai mayele. """
"""Tu ne sens pas que quelque chose brûle?"" ""Oh, je suis parti et j'ai fait brûler le toast."""	"""Ozali koyoka nsolo ya kozika te?"" ""Oh, nazongaki mpe toast eziki na nsima."""
Je doute de tout, y compris de mes propres doutes.	Natiaka ntembe na nyonso, ata na oyo etali ntembe na ngai moko.
Un des plus gros problèmes dans notre société moderne, c'est que les gens ne voient pas le monde comme moi.	Likambo moko ya mpasi na mokili na biso ya lelo, ezali ete bato bazali komona mokili lolenge ngai nakomona yango te.
Tu préfères les mecs mignons ou les mecs qui ont la classe ?	Osepelaka na mibali ya kitoko to na ba oyo ya kelasi ?
Nous ne sommes pas ouvert pour Thanksgiving.	Tofungolami te mpo na Thanksgiving.
Ça fait un bail ! On se retrouve enfin.	Mwa mikolo eleki ! Nsuka nsuka tokutani lisusu.
Les météorologues sont des gens qui en savent énormément sur la géophysique, la thermodynamique et la climatologie, mais qui ne savent quasiment rien du temps qu'il fera demain.	Bato ya meteyolozi bazali baye bayebi mingi mpenza makambo matali géophysique,  thermodynamique mpe climatologie, kasi bayebi ata moke te mokolo mwa lobi ekozala lolenge nini.
Tu devrais refaire le test. Le résultat peut avoir été un faux positif.	Esengelaki osala lisusu ekizame. Ntango mosusu eyano ezali ya lokuta.
Profite de l'occasion pour la remercier.	Salela eposa oyo mpo na kopesa ye matondi.
Vous ne devez pas renoncer, vous pouvez réussir. Je m'en remets à vous.	Esengeli kotika te, bokoki kolonga. Namitiki na maboko na bino.
Mon mari gagne 100.000$ par an.	Mobali na ngai afutamaka 100 000 dolar na mobu moko.
Tous les pull-overs de ce type sont en rupture de stock en ce moment. Nous les commanderons à la boutique principale à Tokyo.	Bilamba ya malili ya lolenge oyo bisili nyonso na ngonga oyo. Tokosenga batindela biso misusu na babutiki ya monene na Tokyo.
Un démocrate auto-proclamé qui a la chance de vivre en démocratie, mais qui jure constamment après les politiciens sans s'engager lui-même en politique, n'a vraisemblablement pas compris le mot «Démocratie».	"Moto oyo amibengi mondimi mwa demokrasi mpe azui ngolu ya kobika kati ya demokrasi, kasi ntango nyonso akonyonga na nkombo ya bato ya politiki, mpe amikotisi ye moko na politiki te ye, asosoli mpenza malamu te ntina ya liloba ""demokrasi""."
Les journaux à scandale prétendent que le concombre tueur aurait sodomisé la vache folle.	Bazunale ya mabe izali koloba ete kokombre ya mobomi esangisaki nzoto na ngombe ya liboma na nzela ya nsima.
Marie voulait un tatouage qui signifiât « Amour et fidélité » mais il signifie en vérité « Imbécile d'étranger » en chinois.	"Marie alingaki nzoloko oyo elobi ""Bolingo mpe bosembo"" kasi na monoko ya bato ya Chine ndimbola na yango ezali ya solo ""Zoba ya mopaya""."
Ils veulent augmenter la production de nourriture en faisant pousser de nouvelles espèces de riz.	Balingi komatisa motango ya bileyi na nzela ya lolenge ya boloni loso ya sika.
"Imaginez si chaque fois que quelqu'un faisait une faute de grammaire, nous ne pouvions que lui répondre ""Erreur de syntaxe."" en le laissant se débrouiller avec ça."	"Ekozala nsomo soki ntango nyonso moto akosala libunga ya gramere, tokoyanola ye kaka ""libunga ya sentaksi"" mpe totiki ye abunda na yango bongo."
Les services administratifs et les institutions devraient solliciter la réaction du public afin d'évaluer et d'améliorer leur niveau de collaboration et d'identifier de nouvelles opportunités de coopération.	Misala ya Leta mpe mangomba basengeli kozwa makanisi ya bana ya mboka mpo ete bamona mpe babongisa lolenge ya kosala elongo mpe komona mabaku ya sika ya bolendisi bondeko.
On ne remerciera jamais assez William Christie d'avoir permis qu'après plus de trois siècles, certains arts refleurissent en France.	Tokozanga maloba ya kotonda William Christie te na ndenge apesaki nzela, nsima ya bileko misato, na misala miyike ya ntoki mingenga na France.
C'est le manager du département marketing.	Ezali Manager ya departema ya marketingi.
Le clown faisait un drôle de visage.	Klown atyaki elongi ya kosekisa.
Tu auras une nouvelle montre pour ton anniversaire.	Nakopesa yo ntango ya sika na mokolo ya mbotama na yo.
Certains groupes disposent de l'équipement, mais ne savent pas comment l'utiliser.	Mangomba mayike mazali na bikipema, kasi bayebi lolenge ya kosalela yango te.
Ça coûte plus cher de frapper un penny que ce que vaut un penny lui-même.	Kosala mbongo eleki mbongo yango moko na ntalo.
Préparez vos hommes. Nous partons à l'aube.	Bobongisa bato na bino. Tolongwa na ntongo makasi.
À huit heures, il faudra que je me mette en route. Autrement, j'arriverai trop tard à l'arrêt de bus.	Na ngonga ya mwambe, esengeli nazala na nzela. Soki boye te, nakokoma nsima na esika bazuaka bus.
Marie feignit d’avoir un mal de tête pour éviter de répondre aux questions de sa cousine.	Marie akosaki ete azali na moto mpasi mpo ayanola mituna ya ndeko na ye ya mwasi te.
En 1912, le tailleur autrichien Franz Reichelt meurt en sautant du premier étage de la Tour Eiffel pour tester sa nouvelle invention, le costume parachute, qui ne fonctionne pas......	Na mobu 1912, motongi bilamba ya mboka Autriche Franz Reichelt akufaka na kopumbua wuta étage ya yambo ya Tour ya Eiffel zambi azalaki komeka kazaka ya parachute eye asalaki, kasi ezalaki kosala te...
Ce sont tous des putains de malades mentaux.	Bazali bango nyonso bato ya liboma.
Je suis désolée que tu n'aies pas bien dormi.	Nayoki motema mpasi komona ete olalaki malamu te.
Si on vit pour chercher vengeance, il est préférable de creuser une tombe pour deux.	Soki tozali na bomoyi mpo na kozongisa mabe na mabe, ekozala malamu kotimola lilita mpo na bato mibale.
Hé ! J'ai appris que tu étais en couple. T'en avais marre de ta vie de chien errant ou bien de bouffer des boîtes ?	Hé! Nayokaki ete ozalaki na ndako ya libala.  Olembaki bomoyi na yo ya kotambola lokola mbwa abungi nzela to olembaki  kolya bileyi ya manzanza ?
Les options d'achat donnent le droit d'acheter un titre à un certain montant, appelé prix de levée, à une date donnée. Celles de vente, donnent le droit de vendre.	"Nzela ya bosombi ekopesa ndingisa ya kosomba mokanda na ntalo moko boye, ebengami ""ntalo ya likolo"", na ngonga eye epesami. Eye ya boteki, epesaka ndingisa ya koteka."
C'est techniquement illégal.	Ezali nde kobuka mibeko.
Gabriel mourra en prison.	Gabriel akokufa na boloko.
Tu la feras pleurer, quoi que tu dises.	Okolelisa ye kaka, nyonso okoloba ezali mpamba.
Aaron tua Elizabeth.	Aaron abomaki Elizabeth.
Le peuple britannique se tourna vers un nouveau leader : Winston Churchill.	Bato ya ekolo Grande-Bretagne baponaki mokonzi ya sika: Winston Churchill.
Cela me semble incroyable qu'à l'époque je n'avais pas prévu ce qui se serait passé.	Ezali kokamwisa ndenge na ntango ya kala, nalengelaki te makambo makokaki koya.
Les associés en nom collectif sont obligés solidairement et indéfiniment à tous les engagements de la société.	Basangani ya kompanyi moko basengeli, na bondeko mnpe kino suka, batiya maboko na mosala nyonso ya kompanyi.
Gardez vos papiers dans votre poche intérieure.	Tiya mikanda na yo na libenga na yo ya kati.
La Révolution française n'a pas eu seulement pour objet de changer un gouvernement ancien, mais d'abolir la forme ancienne de la société.	Mbongwana ya France ezalaki kaka te na mwango ya kolongola leta ya kala, kasi mpe komema etamboli ya sika mpo na mokili.
Ce mec est complètement taré !	Mwana mobali oyo baloka ye.
L'homme menotté a donné un coup de boule à l'agent qui l'escortait dans sa cellule.	Moto batiaki minyololo abetaki likofi na policier oyo azalaki komema ye o boloko.
Le politicien flamand Bart De Wever est une véritable gangrène dans la politique belge.	Mosali politiki Flamand Bart De Wever azalaki mbuma mabe na politiki ya Belgique.
J'ai mal à une dent à l'arrière, à gauche.	Nazali na mpasi na lino ya nsuka, o loboko ya mwasi.
Entre parenthèses, le fait que les branchies du poisson soient d'un rouge brillant est dû à la présence de nombreux vaisseaux capillaires sanguins, comme il s'en trouve dans les poumons.	Na yango, langi ya motane ya mbanga ya mbisi oyo ezali kongenga ewuti na misisa ya makila ya mikemike oyo ezali na kati na yango, lolenge ezalaka na lipululu.
Holly saute sur le trampoline.	Holly azali kopimbwa likolo ya Trampoline.
Il s'est tenu à mon côté chaque fois que je me trouvais dans les ennuis.	Azalaki ntango nyonso mpene na ngai ntango nazalaki na mikakatano.
Vous ne regardez la télé que le vendredi.	Bokotala tele kaka mokolo ya mitano.
Anne est pom-pom girl.	Anne azali pom-pom girl na ngai.
Celui-là à des sourcils tellement dense, qu'il doit surement être aveugle!	Ye oyo kuna nsuki ya miso eleki ebele, nalikei ete azali moto akufa miso.
Je m'en fous comme de l'an quarante ! Peut-être davantage, tout bien réfléchi...	Etali ngai te lokola na mobu ntuku inei ! Ntango mosusu koleka, nsima ya kokanisa malamu...
La marche n'a résolu les problèmes de racisme ni en 1983 ni à l'heure actuelle.	Kokita na balabala mpe kotambola etikala kosilisa bokaboli langi ya nzoto ya bato te ezala na mobu 1983 to lelo awa.
J'espère que ce que tu manges est sain.	Nalikei ete biye ozali kolya bizali peto.
L'intelligence d'un compagnon ne présente pour les femmes aucun intérêt pratique, seulement un avantage reproductif, voire décoratif.	Mayele ya mobali ezalaka na ntina moko te mpo na mwnasi, kasi tina na yango ezalaka bobele mpo na kobota, to lokumu.
Elle a mentionné un hébergement bon marché que je pourrais chercher.	Alobelaki esika ya bopemi ya ntalo moke oyo nakoki koluka.
L'amour ne tue pas l'amour, mais les hommes tuent l'amour.	Bolingo ebomaka bolingo te, bobele bato nde babomaka bolingo.
Miki est tombée éperduement en amour avec un type qu'elle venait de rencontrer.	Miki akueyi bolingo makasi na mobali moko oyo awuti kokutana na ye.
Quand j'ai entendu le message, j'ai voulu pleurer.	Ntango nayokaki sango, nalingaki nalela.
Il y a une jeune fille dans le solitaire jardin. La petite espagnole, avec ses grands yeux et ses grands cheveux, sa peau brune et dorée, ses lèvres rouges et ses joues roses, l’andalouse de quatorze ans, Pepa.	Ezali na elenge mwasi moko o kati na elanga. Elenge mwasi ya mboka Espanye, na miso ma ye ma minene pe suki molayi, loposo lya pembe pe wolo, bambembo ya motane pe matama ya langi ya rose, elenge mwasi ya sud ya espagne ya mibu 40, Pepa.
A Tokyo, la saison froide démarre mi-novembre.	O engumba Tokyo eleko ya elanga ebandaka na kati-kati ya sanza na zomi na moko.
La police passe les bandes de surveillance vidéo au peigne fin, suite à un cambriolage dans le centre-ville.	Bapolisi batalaki na ekenge nyonso bilili bya kamera bwa bokengeli, sima boyibi esalema o kati ya engumba.
Aucune issue, aucun moyen (ni porte, ni porte).	Nzela ata moko te, epusa moko pe te (ata ekuke te, ata ekuke te).
Quelle époque terrible que celle où des fous dirigent des aveugles.	Eleko moko somo wapi bato maboma bazali kotambuisa bato bakufa miso.
C’est par un premier court saut que Yanis fit la connaissance de Maria.	Ezalaki na saut ya mokuse ya yambo nde Yanis akutanaki na Maria.
Stop ! N'entrez pas !	Stop! Kokota te!
Elle fait très bien Mickey.	Azali komekela malamu penza Mickey.
Pour moi, chanter et danser c'est particulièrement important.	Po na ngai, koyemba na kobina ezali na tina makasi.
Si vous voulez nous convaincre, utilisez des arguments différents.	Soki bolingi tondima bino, bosalela argument misusu.
Il ressemble à quelqu'un en train de chercher qui ne sait pas du tout précisément ce qu'il veut vraiment trouver.	Azali lokola moto azali koluka kasi ayebi te eloko nini azali koluka.
Tout le monde t'insulte pour ta conduite arrogante et pourtant, tu continues toujours à harceler les gens avec tes commentaires chiants.	Bato banso bazali kofinga po na ezaleli nayo ya lofundu, kasi ozali kokoba ntango nyonso kotumola bato na malabo na yo ya bosoto.
Joyeux Halloween !	Feti ya Halloween elamu!
À l'époque Tony était au milieu de la soixantaine et encore capable de travailler dur, mais il avait un camion flambant-neuf, une nouvelle tondeuse, un ensemble d'autres équipements et trois personnes pour l'aider.	Na ntango wana, Tony azalaki pene pene na bamvula tuku motoba, kasi azalaki nanu na makasi ya mosala. Azalaki na motuka ya sika makasi, masini ya sika ya kokata matiti, bisaleli bisusu pe bato misato ya kosunga ye.
""" Thymète le premier, soit lâche trahison, / soit qu'ainsi l'ordonnât le destin d'Ilion, / des Grecs favorisant la perfide entreprise, / dans nos murs aussitôt prétend que l'on l'introduise. """	"""Thymète ya yambo, kozanga bosembo, / to mabongisa ya Nzambe pona bomoyi ya Ilion,/ Bata ba Grese bazalaki kopesa mabaoko na mokuta oyo ezalaki kosalema, / likolo lya bifelo bua biso o mbala moko alingi batanga kombo mua ye. """
Êtes-vous certains d'avoir fait tout ce que vous étiez censés faire ?	Ozali na tembe te ete osali manso osengelaki kosala?
À vos marques, prêts, partez!	Bobongama, bozala ekenge, bokende!
Plus de cent experts en robotique pressent les Nations Unies d'agir de façon à empêcher le développement des « robots tueurs ».	"Banganga mayele ya makambo ma robotike 100 koleka bazali kotya Lisanga lya Bikolo (ONU) panzi likolo mpo ete bapekisa kosala barobo baye bakoboma bato""."
La cour d'appel a confirmé hier l'ordonnance de référé interdisant à mon mari de porter mes culottes.	Esambiseli ya bobyangi (Cour d'appel) endimaki lobi eleki mokanga mokopekisa mobali na ngai kolata bakiloti na ngai.
L’hiver, j’allais pieds nus dans la boue en soufflant dans mes doigts tout rouges ; on voyait mes cuisses à travers mon pantalon.	O eleko ya elanga to Hiver nazalaki kokende makolo ngulu na potopoto pe kotiya mopepe na maboko manga zambi ezalaki motane penza; Okokaki komona mipende na ngai otei ya patalo.
Le commerce, la publicité, le trafic, tous ces échanges qui constitue le corps de notre monde, avait disparu.	Mombongo, publisite, trafike, mibongo nyonso oyo ezalaki kosala mokili na biso ezala, elimwaki.
Ce procès a mis un terme à sa carrière politique.	Lisambisi eye esukisaki mosala naye ya politiki.
Machida est une ville intéressante avec un mélange de vieilles et de nouvelles choses.	Machida ezali engumba kitoko oyo esangisi biloko bya kala pe biloko bya sika.
Sans être joli garçon, César n’avait rien dans sa personne qui s’opposât à ce qu’il fût aimé.	Ata ko azalaki elenge mobali ya kitoko te, César azalaki na eloko te na bomoto na ye oyo ekokaki kosala ete alingama te.
Sammy Davis était un chanteur excellent.	Sammy Davis azalaki moyembi monene.
Un motel ressemble à un hôtel, mais c'est plus petit et utilisé principalement par des gens qui voyagent en voiture.	Motel ezali lolenge moko na hotel, kasi ezali moke pe baye basalelaka yango ezali mingi bato baye basalaka mobembo na motuna.
Maman ! Arrêtez ! Vous me mettez mal à l'aise !	Mama! Tika! Nasepeli na makambo ozosala te!
J'espère que vous plaisantez.	Naliki ete ozali kosakana.
Certaines araignées sont calmes et se laissent manipuler facilement, alors que d'autres sont assez farouches et essayent de mordre au moindre toucher.	Mampulututu misusu bazali kimya pe bamitikaka noki penza kosimbama, kasi basusu bazalaka na kanda pe bakomeka koswa soki olingi kosimba bango.
Au lieu de régler le problème, l'entreprise a viré le lanceur d'alerte.	Esika ya kobongisa makambo, kompani ebengani moto oyo alobelaki likambo.
Évidemment c'est toujours quand je suis loin de tout accès à Internet que le serveur décide de tomber en rade.	Ezalaka kaka soki nazali mosika ya internet nde serveur ya internet ekufaka.
Voici mon secret. Il est tout à fait simple : on ne voit bien qu'avec le cœur. Le plus important est invisible aux yeux.	Sekele na ngai yango oyo. Ezali pasi te: Bamona malamu kaka na motema. Oyo ya motuya koleka emononoko na miso te.
Il existe des milliers de langues dans le monde entier, mais l'espéranto est le seul pont vers tous ceux qui les parlent.	Ezali na bakota nkoto na nkoto o mokili mobimba, kasi kota ya esperanto ezali yoko gbagba komema epayi ya baye banso bakoloba yango.
Pour la chasse aux lions : vous achetez un tamis et vous allez dans le désert. Là, vous passez tout le désert au tamis. Quand le sable est passé, il reste les lions.	Po na koboma bankosi: bosomba kiyungulu pe bokende na esobe. Kuna, bolekisa esobe mobimba na kiyungulu. Tango zelo esili, bankosi nde bakotikala.
Vous devez être conscient de vos responsabilités familiales.	Esengeli koyeba nini ezali mosala na yo pona na libota.
Tu ne perds jamais espoir, hein ?	Obungisi elikya ata mokolo moko te, hein?
Je me souviens de cette chanson, elle était sur toutes les lèvres quand j'étais au lycée. Ça nous rajeunit pas tout cela...	Nayebi nzembo oyo, ezalaki na minoko ya bato banso tango nazalaki na Lycée. Ezali kozongisa biso bilenge te makambo oyo...
Vous ne perdez jamais espoir, hein ?	Bobungisi elikya ata mokolo moko te, hein?
